"","schoolcode","program"
"500","9040301","Mech. Eng. Craft Pract."
"501","20603","Home Economics"
"502","100202","General Arts"
"503","100401","General Arts"
"504","20402","Business"
"505","100301","Agriculture"
"506","50204","Agriculture"
"507","10201","Home Economics"
"508","100102","Home Economics"
"509","51801","General Arts"
"510","30603","Technical"
"511","80701","Home Economics"
"512","100503","Business"
"513","30402","Business"
"514","60107","General Arts"
"515","100302","General Arts"
"516","21501","Home Economics"
"517","10119","Visual Arts"
"518","61101","Technical"
"519","40401","Agriculture"
"520","60201","Home Economics"
"521","51101","General Arts"
"522","50112","General Science"
"523","80303","Business"
"524","50801","Home Economics"
"525","100303","Agriculture"
"526","20105","Home Economics"
"527","50101","Visual Arts"
"528","80503","Business"
"529","60203","Home Economics"
"530","20803","General Arts"
"531","81302","Agriculture"
"532","70802","General Arts"
"533","80108","General Science"
"534","50502","Home Economics"
"535","21401","General Arts"
"536","40902","General Arts"
"537","100204","Home Economics"
"538","51802","General Arts"
"539","70401","General Arts"
"540","100202","General Science"
"541","20402","General Science"
"542","9090401","Block Laying & Concreting"
"543","50106","Business"
"544","20607","Agriculture"
"545","40101","Business"
"546","100302","Business"
"547","31001","Business"
"548","40111","Home Economics"
"549","70607","General Arts"
"550","9040101","Electrical Installation Works"
"551","10502","General Arts"
"552","81101","General Arts"
"553","30802","Agriculture"
"554","81301","General Arts"
"555","10116","Home Economics"
"556","60106","General Arts"
"557","20202","General Arts"
"558","60402","Business"
"559","40106","Home Economics"
"560","30202","General Arts"
"561","30702","General Arts"
"562","50204","Home Economics"
"563","10301","Home Economics"
"564","30201","Home Economics"
"565","90101","Agriculture"
"566","20602","Home Economics"
"567","80401","Business"
"568","60602","Business"
"569","10131","General Arts"
"570","10117","Home Economics"
"571","100203","Agriculture"
"572","31101","General Arts"
"573","70506","Technical"
"574","100502","General Arts"
"575","70508","General Arts"
"576","100401","Visual Arts"
"577","50103","Home Economics"
"578","9030401","Motor Vehicle Mech."
"579","100104","Home Economics"
"580","90403","General Arts"
"581","80801","General Arts"
"582","100301","General Arts"
"583","71006","Business"
"584","30106","General Science"
"585","70803","Technical"
"586","9021301","Electrical Installation Works"
"587","30110","Technical"
"588","100101","Technical"
"589","70301","Visual Arts"
"590","61203","General Arts"
"591","30503","General Arts"
"592","60901","General Arts"
"593","80402","Agriculture"
"594","80801","General Science"
"595","21502","General Arts"
"596","51401","Business"
"597","20803","Visual Arts"
"598","30905","Home Economics"
"599","60902","Agriculture"
"600","100202","Business"
"601","30101","Agriculture"
"602","61001","Home Economics"
"603","30603","Visual Arts"
"604","20104","Home Economics"
"605","40902","Home Economics"
"606","10118","Business"
"607","20403","General Arts"
"608","51101","Technical"
"609","20201","Business"
"610","70502","Agriculture"
"611","60401","Home Economics"
"612","20704","General Arts"
"613","50704","General Arts"
"614","60201","Business"
"615","80108","Agriculture"
"616","50113","Home Economics"
